Company,SARIMA_RMSE,ARIMA_RMSE,Best_Model,Best_RMSE
Apple,320.58455942704217,847.6901007575572,SARIMA,320.58455942704217
Microsoft,435.70755609422457,199.2916503963049,ARIMA,199.2916503963049
NVIDIA,1151.287417930759,950.5969635643676,ARIMA,950.5969635643676
Tencent,138.61911100239593,102.94400976462799,ARIMA,102.94400976462799
ICBC,120.63658777215848,107.56118703590418,ARIMA,107.56118703590418
Alibaba,68.67881931487037,74.01013393764798,SARIMA,68.67881931487037
