Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2002-07-01 00:00:00+01:00,115.2440185546875,667.242112444875,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2002-08-01 00:00:00+01:00,121.16661834716797,701.5328986068047,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2002-09-01 00:00:00+01:00,85.38423919677734,494.35936758939846,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2002-10-01 00:00:00+01:00,109.58415985107422,634.4725498688672,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2002-11-01 00:00:00+00:00,113.53317260742188,657.3366225267188,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2002-12-01 00:00:00+00:00,94.7755126953125,548.733149815125,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-01-01 00:00:00+00:00,74.2901840209961,430.12678611658595,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-02-01 00:00:00+00:00,73.79651641845703,427.2685396054453,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-03-01 00:00:00+00:00,68.61351776123047,397.25991081742967,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-04-01 00:00:00+01:00,76.51146697998047,442.9876144049297,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-05-01 00:00:00+01:00,85.18843841552734,493.22571632889844,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-06-01 00:00:00+01:00,82.96615600585938,480.35910140109377,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-07-01 00:00:00+01:00,99.51001739501953,576.1450793610703,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-08-01 00:00:00+01:00,98.27536010742188,568.9966360227188,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-09-01 00:00:00+01:00,91.11460876464844,527.5371753707344,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-10-01 00:00:00+01:00,102.73563385009766,594.8208177153516,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-11-01 00:00:00+00:00,98.29031372070312,569.0832147505313,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2003-12-01 00:00:00+00:00,99.03124237060547,573.3730581951797,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-01-01 00:00:00+00:00,97.79643249511719,566.2237314004219,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-02-01 00:00:00+00:00,98.78426361083984,571.9430956560234,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-03-01 00:00:00+00:00,93.59808349609375,541.9160468019375,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-04-01 00:00:00+01:00,92.39453125,534.947696052,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-05-01 00:00:00+01:00,87.94773864746094,509.20156773285936,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-06-01 00:00:00+01:00,93.87678527832031,543.5296799279531,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-07-01 00:00:00+01:00,95.85314178466797,554.9724281658047,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-08-01 00:00:00+01:00,98.3235855102539,569.275852419914,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-09-01 00:00:00+01:00,98.07652282714844,567.8454039797343,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-10-01 00:00:00+01:00,97.84468078613281,566.5030803160781,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-11-01 00:00:00+00:00,105.01007080078125,607.9893980428125,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2004-12-01 00:00:00+00:00,108.71632385253906,629.4479357311407,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-01-01 00:00:00+00:00,113.65797424316406,658.0592015213906,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-02-01 00:00:00+00:00,116.62293243408203,675.2257754696953,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-03-01 00:00:00+00:00,111.92838287353516,648.0451789837266,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-04-01 00:00:00+01:00,103.06388092041016,596.7213091364765,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-05-01 00:00:00+01:00,107.2655258178711,621.0480763933359,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-06-01 00:00:00+01:00,113.69155883789062,658.2536502764062,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-07-01 00:00:00+01:00,113.19725036621094,655.3916932483594,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-08-01 00:00:00+01:00,109.98424530029297,636.7889725660547,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-09-01 00:00:00+01:00,112.20862579345703,649.6677350194453,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-10-01 00:00:00+01:00,106.04522705078125,613.9827663028125,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-11-01 00:00:00+00:00,115.68568420410156,669.7992770127656,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2005-12-01 00:00:00+00:00,120.62954711914062,698.4233529209063,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-01-01 00:00:00+00:00,123.843017578125,717.02876814525,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-02-01 00:00:00+00:00,128.7868194580078,745.6524906708281,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-03-01 00:00:00+00:00,140.40493774414062,812.9193031709062,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-04-01 00:00:00+01:00,136.94424438476562,792.8825118771563,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-05-01 00:00:00+01:00,126.59458923339844,732.9598724822343,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-06-01 00:00:00+01:00,126.84188079833984,734.3916461070235,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-07-01 00:00:00+01:00,122.88580322265625,711.4866694175626,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-08-01 00:00:00+01:00,130.05618286132812,753.0018761687812,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-09-01 00:00:00+01:00,140.93536376953125,815.9903743303125,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-10-01 00:00:00+01:00,142.93174743652344,827.5490762214844,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-11-01 00:00:00+00:00,149.8557586669922,867.6378542591718,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2006-12-01 00:00:00+00:00,155.79061889648438,901.9996261433438,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-01-01 00:00:00+00:00,153.0705108642578,886.2506905173282,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-02-01 00:00:00+00:00,154.801513671875,896.27288502675,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-03-01 00:00:00+00:00,157.2744140625,910.590532929,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-04-01 00:00:00+01:00,153.02102661132812,885.9641856047813,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-05-01 00:00:00+01:00,152.06724548339844,880.4419646462344,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-06-01 00:00:00+01:00,148.50550842285156,859.8201485202657,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-07-01 00:00:00+01:00,138.80963134765625,803.6827664435625,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-08-01 00:00:00+01:00,143.5586700439453,831.1788452122031,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-09-01 00:00:00+01:00,132.18084716796875,765.3032998606875,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-10-01 00:00:00+01:00,138.62939453125,802.6392277365,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-11-01 00:00:00+00:00,128.3385467529297,743.0570724405469,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2007-12-01 00:00:00+00:00,129.22906494140625,748.2130123730625,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-01-01 00:00:00+00:00,130.71337890625,756.8069229105,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-02-01 00:00:00+00:00,123.2921142578125,713.839137136125,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-03-01 00:00:00+00:00,125.07321166992188,724.1513703837187,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-04-01 00:00:00+01:00,125.56796264648438,727.0158894353438,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-05-01 00:00:00+01:00,118.57965850830078,686.5548670408829,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-06-01 00:00:00+01:00,99.1792984008789,574.230275946164,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-07-01 00:00:00+01:00,96.80374145507812,560.4762290582812,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-08-01 00:00:00+01:00,99.47624969482422,575.9495704583671,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-09-01 00:00:00+01:00,98.9813232421875,573.084035431875,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-10-01 00:00:00+01:00,70.58724212646484,408.68741943227343,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-11-01 00:00:00+00:00,66.62725067138672,385.7597820859922,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2008-12-01 00:00:00+00:00,76.03225708007812,440.21307538828125,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-01-01 00:00:00+00:00,60.98420333862305,353.08755431954296,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-02-01 00:00:00+00:00,39.79812240600586,230.4239612481211,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-03-01 00:00:00+00:00,42.57014083862305,246.47344874354297,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-04-01 00:00:00+01:00,57.71718215942383,334.1720900694258,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-05-01 00:00:00+01:00,59.81869125366211,346.3394492516836,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-06-01 00:00:00+01:00,56.24344253540039,325.6394030609414,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-07-01 00:00:00+01:00,63.8297119140625,369.562536506625,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-08-01 00:00:00+01:00,76.25894165039062,441.52553822540625,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-09-01 00:00:00+01:00,86.95499420166016,503.45375618097654,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-10-01 00:00:00+01:00,77.75607299804688,450.1936591009688,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-11-01 00:00:00+00:00,76.61701202392578,443.5987012011328,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2009-12-01 00:00:00+00:00,79.836181640625,462.23711352225,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-01-01 00:00:00+00:00,75.18073272705078,435.28290274038284,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-02-01 00:00:00+00:00,76.41890716552734,442.45170974889845,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-03-01 00:00:00+00:00,87.21560668945312,504.96265555003123,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-04-01 00:00:00+01:00,84.93739318847656,491.7722096765156,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-05-01 00:00:00+01:00,78.3237533569336,453.48042614196095,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-06-01 00:00:00+01:00,77.92741394042969,451.1856922995469,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-07-01 00:00:00+01:00,88.727294921875,513.71505816675,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-08-01 00:00:00+01:00,91.79882049560547,531.4986380691797,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-09-01 00:00:00+01:00,102.54913330078125,593.7410131228125,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-10-01 00:00:00+01:00,99.49188232421875,576.0400805671875,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-11-01 00:00:00+00:00,90.57331085205078,524.4031579423828,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2010-12-01 00:00:00+00:00,95.87489318847656,555.0983648765156,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-01-01 00:00:00+00:00,109.99600982666016,636.8570870549765,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
