Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00+09:00,215.17698669433594,722.4761021978671,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-02-01 00:00:00+09:00,188.82872009277344,634.0094253175547,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-03-01 00:00:00+09:00,202.63014221191406,680.3489424313829,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-04-01 00:00:00+09:00,212.38482666015625,713.1011735440312,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-05-01 00:00:00+09:00,236.404541015625,793.749526651125,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-06-01 00:00:00+09:00,297.0858154296875,997.4923677819374,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-07-01 00:00:00+09:00,256.6317138671875,861.6640802694375,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-08-01 00:00:00+09:00,237.03652954101562,795.8714850142031,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-09-01 00:00:00+09:00,270.5378112792969,908.3550541018594,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-10-01 00:00:00+09:00,268.0093078613281,899.8653762702656,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
2000-11-01 00:00:00+09:00,305.9352722167969,1027.2052155373594,Mitsubishi Heavy Industries,Industrials,Specialty Industrial Machinery,37.095715,4.0544734,0.0,0.12146,0.03217,60.801,,Mega Cap
