Date,Stock Price,Market Cap (Billion USD),Company
2000-01-01 00:00:00+01:00,585.7266845703125,0.5711157324237061,Chocoladefabriken Lindt &amp; Sprüngli
2000-02-01 00:00:00+01:00,579.7825317382812,0.5653198564840698,Chocoladefabriken Lindt &amp; Sprüngli
2000-03-01 00:00:00+01:00,612.4033813476562,0.5971269789999389,Chocoladefabriken Lindt &amp; Sprüngli
2000-04-01 00:00:00+02:00,601.5296630859375,0.5865245056402588,Chocoladefabriken Lindt &amp; Sprüngli
2000-05-01 00:00:00+02:00,569.053955078125,0.5548589041687012,Chocoladefabriken Lindt &amp; Sprüngli
2000-06-01 00:00:00+02:00,561.8047485351562,0.5477905290829468,Chocoladefabriken Lindt &amp; Sprüngli
2000-07-01 00:00:00+02:00,543.6817626953125,0.530119621124878,Chocoladefabriken Lindt &amp; Sprüngli
2000-08-01 00:00:00+02:00,612.54833984375,0.5972683215063477,Chocoladefabriken Lindt &amp; Sprüngli
2000-09-01 00:00:00+02:00,623.4219360351562,0.6078706758407593,Chocoladefabriken Lindt &amp; Sprüngli
2000-10-01 00:00:00+02:00,630.6710205078125,0.6149389319012452,Chocoladefabriken Lindt &amp; Sprüngli
2000-11-01 00:00:00+01:00,644.4441528320312,0.6283684934396362,Chocoladefabriken Lindt &amp; Sprüngli
2000-12-01 00:00:00+01:00,674.1655883789062,0.6573485277767944,Chocoladefabriken Lindt &amp; Sprüngli
2001-01-01 00:00:00+01:00,670.541015625,0.6538143699902343,Chocoladefabriken Lindt &amp; Sprüngli
2001-02-01 00:00:00+01:00,648.793701171875,0.6326095422961425,Chocoladefabriken Lindt &amp; Sprüngli
2001-03-01 00:00:00+01:00,594.4256591796875,0.5795977111114502,Chocoladefabriken Lindt &amp; Sprüngli
2001-04-01 00:00:00+02:00,632.120849609375,0.6163525950158691,Chocoladefabriken Lindt &amp; Sprüngli
2001-05-01 00:00:00+02:00,647.6402587890625,0.6314848725335693,Chocoladefabriken Lindt &amp; Sprüngli
2001-06-01 00:00:00+02:00,663.7396240234375,0.6471826391021729,Chocoladefabriken Lindt &amp; Sprüngli
2001-07-01 00:00:00+02:00,680.571044921875,0.6635942002062988,Chocoladefabriken Lindt &amp; Sprüngli
2001-08-01 00:00:00+02:00,647.6402587890625,0.6314848725335693,Chocoladefabriken Lindt &amp; Sprüngli
2001-09-01 00:00:00+02:00,600.0733642578125,0.5851045341864014,Chocoladefabriken Lindt &amp; Sprüngli
2001-10-01 00:00:00+02:00,613.9774780273438,0.5986618098379517,Chocoladefabriken Lindt &amp; Sprüngli
2001-11-01 00:00:00+01:00,614.7091674804688,0.5993752472976684,Chocoladefabriken Lindt &amp; Sprüngli
2001-12-01 00:00:00+01:00,680.571044921875,0.6635942002062988,Chocoladefabriken Lindt &amp; Sprüngli
