Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2004-05-01 00:00:00+02:00,42.5690803527832,60.02623383355078,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-06-01 00:00:00+02:00,44.8763427734375,63.279681463375,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-07-01 00:00:00+02:00,45.56852340698242,64.25571844185546,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-08-01 00:00:00+02:00,45.1070671081543,63.60502353682422,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-09-01 00:00:00+02:00,46.26070022583008,65.23175004126954,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-10-01 00:00:00+02:00,47.64506530761719,67.18382937729687,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-11-01 00:00:00+01:00,49.836971282958984,70.27461403899609,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2004-12-01 00:00:00+01:00,53.413238525390625,75.31747265765625,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-01-01 00:00:00+01:00,53.1825065612793,74.99211982607422,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-02-01 00:00:00+01:00,55.60512924194336,78.40823580308984,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-03-01 00:00:00+01:00,56.06658172607422,79.05892532905469,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-04-01 00:00:00+02:00,56.64340591430664,79.87229933941016,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-05-01 00:00:00+02:00,62.5774040222168,88.23977063644922,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-06-01 00:00:00+02:00,65.43265533447266,92.26593191366406,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-07-01 00:00:00+02:00,65.90851593017578,92.93693817344531,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-08-01 00:00:00+02:00,62.5774040222168,88.23977063644922,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-09-01 00:00:00+02:00,65.78955841064453,92.76919736663281,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-10-01 00:00:00+02:00,61.50667953491211,86.72995276127735,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-11-01 00:00:00+01:00,60.19804382324219,84.88465865154687,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2005-12-01 00:00:00+01:00,64.24295806884766,90.58835171541406,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-01-01 00:00:00+01:00,66.50335693359375,93.7757175144375,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-02-01 00:00:00+01:00,68.6447982788086,96.79534250664844,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-03-01 00:00:00+01:00,67.57408142089844,95.28553538960938,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-04-01 00:00:00+02:00,66.50335693359375,93.7757175144375,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-05-01 00:00:00+02:00,62.220497131347656,87.73649980441407,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-06-01 00:00:00+02:00,68.6447982788086,96.79534250664844,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-07-01 00:00:00+02:00,65.81535339355469,92.80557061367188,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-08-01 00:00:00+02:00,69.25989532470703,97.66268469025782,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-09-01 00:00:00+02:00,75.41087341308594,106.33611728448437,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-10-01 00:00:00+02:00,76.64105224609375,108.0707801354375,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-11-01 00:00:00+01:00,78.48633575439453,110.67279592813281,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2006-12-01 00:00:00+01:00,85.12939453125,120.0401065725,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-01-01 00:00:00+01:00,92.5105209350586,130.44815898514844,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-02-01 00:00:00+01:00,89.9271469116211,126.80536914977344,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-03-01 00:00:00+01:00,98.90754699707031,139.46854136257812,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-04-01 00:00:00+02:00,109.85626983642578,154.9072257759453,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-05-01 00:00:00+02:00,107.76494598388672,151.9582709581797,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-06-01 00:00:00+02:00,102.6648941040039,144.76673888447655,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-07-01 00:00:00+02:00,98.87652587890625,139.4247987945625,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-08-01 00:00:00+02:00,98.11884307861328,138.35639786682032,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-09-01 00:00:00+02:00,103.17001342773438,145.47900258359374,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-10-01 00:00:00+02:00,106.83209991455078,150.64287405919532,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-11-01 00:00:00+01:00,100.13932037353516,141.20545266328907,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2007-12-01 00:00:00+01:00,99.38164520263672,140.13706249367968,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-01-01 00:00:00+01:00,86.3748779296875,121.796350237875,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-02-01 00:00:00+01:00,88.1427993774414,124.28927856385157,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-03-01 00:00:00+01:00,92.18372344970703,129.9873451242578,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-04-01 00:00:00+02:00,89.91069030761719,126.78216385729688,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-05-01 00:00:00+02:00,83.72301483154297,118.05698464424219,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-06-01 00:00:00+02:00,85.78717041015625,120.9676297510625,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
