Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2005-08-01 00:00:00-04:00,9.538613319396973,2.7340336585121157,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2005-09-01 00:00:00-04:00,10.003173828125,2.8671897080078126,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2005-10-01 00:00:00-04:00,10.937253952026367,3.1349232257614137,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2005-11-01 00:00:00-05:00,11.770730018615723,3.3738208037757875,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2005-12-01 00:00:00-05:00,12.319330215454102,3.531064980995178,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2006-01-01 00:00:00-05:00,11.589207649230957,3.3217914100837707,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2006-02-01 00:00:00-05:00,12.613807678222656,3.6154704671936035,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2006-03-01 00:00:00-05:00,13.416022300720215,3.845407640010834,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2006-04-01 00:00:00-05:00,12.61994457244873,3.6172294729118346,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2006-05-01 00:00:00-04:00,12.312832832336426,3.5292026490669253,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2006-06-01 00:00:00-04:00,11.826502799987793,3.389806844554901,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2006-07-01 00:00:00-04:00,12.704787254333496,3.6415477611351013,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
