Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00+05:30,42.68965148925781,51.20794318135547,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-02-01 00:00:00+05:30,40.53730392456055,48.626116252473636,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-03-01 00:00:00+05:30,26.723588943481445,32.056013026108886,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-04-01 00:00:00+05:30,22.616472244262695,27.129362392155763,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-05-01 00:00:00+05:30,21.295024871826172,25.54423345330957,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-06-01 00:00:00+05:30,18.14226722717285,21.762374649130372,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-07-01 00:00:00+05:30,16.760530471801758,20.104926185808104,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-08-01 00:00:00+05:30,15.768074989318848,18.91443616810913,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-09-01 00:00:00+05:30,15.845076560974121,19.006802630908446,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-10-01 00:00:00+05:30,11.032517433166504,13.23394560873999,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-11-01 00:00:00+05:30,12.508368492126465,15.004287940777587,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2000-12-01 00:00:00+05:30,12.709428787231445,15.245467800733886,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-01-01 00:00:00+05:30,13.997055053710938,16.790026971222655,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-02-01 00:00:00+05:30,13.821663856506348,16.57963822014038,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-03-01 00:00:00+05:30,10.258232116699219,12.305159425001953,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-04-01 00:00:00+05:30,11.575804710388184,13.885640411873291,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-05-01 00:00:00+05:30,10.497787475585938,12.592515652535155,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-06-01 00:00:00+05:30,7.192563533782959,8.627767431151977,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-07-01 00:00:00+05:30,6.124186038970947,7.3462059252132565,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-08-01 00:00:00+05:30,5.990078926086426,7.185339083315186,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-09-01 00:00:00+05:30,4.796533584594727,5.753633742575683,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-10-01 00:00:00+05:30,6.562265872955322,7.871700195252319,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-11-01 00:00:00+05:30,8.117897987365723,9.737743091991943,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2001-12-01 00:00:00+05:30,7.974850654602051,9.566152099026123,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-01-01 00:00:00+05:30,10.344059944152832,12.40811333439917,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-02-01 00:00:00+05:30,10.156312942504883,12.182903302050294,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-03-01 00:00:00+05:30,10.19654369354248,12.231161695862548,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-04-01 00:00:00+05:30,9.400848388671875,11.276693375320313,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-05-01 00:00:00+05:30,7.939089775085449,9.523255494755126,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-06-01 00:00:00+05:30,10.138431549072266,12.161453855944336,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-07-01 00:00:00+05:30,8.612565040588379,10.331115993185303,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-08-01 00:00:00+05:30,8.0891752243042,9.703288989708252,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-09-01 00:00:00+05:30,7.6592488288879395,9.187575095108276,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-10-01 00:00:00+05:30,7.808789253234863,9.366954810944092,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-11-01 00:00:00+05:30,9.897673606872559,11.872655081662353,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2002-12-01 00:00:00+05:30,10.542566299438477,12.64622964146631,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-01-01 00:00:00+05:30,9.065857887268066,10.874858879986084,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-02-01 00:00:00+05:30,10.294889450073242,12.349131361504394,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-03-01 00:00:00+05:30,9.28082275390625,11.132717829234375,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-04-01 00:00:00+05:30,10.383676528930664,12.45563501123584,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-05-01 00:00:00+05:30,12.108061790466309,14.524104052677979,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-06-01 00:00:00+05:30,13.818422317504883,16.575749864550293,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-07-01 00:00:00+05:30,19.46663475036621,23.351006425521973,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-08-01 00:00:00+05:30,19.52981185913086,23.426789892547852,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-09-01 00:00:00+05:30,23.04313087463379,27.64115647197803,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-10-01 00:00:00+05:30,33.12633514404297,39.736362998642576,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-11-01 00:00:00+05:30,34.28286361694336,41.123665126016604,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2003-12-01 00:00:00+05:30,37.78646469116211,45.32637464646972,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-01-01 00:00:00+05:30,39.77394104003906,47.710431962402346,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-02-01 00:00:00+05:30,45.167850494384766,54.180641936663086,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-03-01 00:00:00+05:30,45.153263092041016,54.16314376452246,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-04-01 00:00:00+05:30,45.64405822753906,54.75187214565234,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-05-01 00:00:00+05:30,41.11513137817383,49.31924337769043,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-06-01 00:00:00+05:30,42.97140884399414,51.54592238963965,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-07-01 00:00:00+05:30,44.845115661621094,53.79350860569726,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-08-01 00:00:00+05:30,42.51305389404297,50.996107307642575,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
2004-09-01 00:00:00+05:30,42.458473205566406,50.930635590333985,Mahindra &amp; Mahindra,Consumer Cyclical,Auto Manufacturers,26.454702,4.633107,0.08071,,,145.663,,Mega Cap
