Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2001-02-01 00:00:00+01:00,645.9481811523438,0.6298350037734985,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-03-01 00:00:00+01:00,591.8185424804688,0.5770556289382934,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-04-01 00:00:00+02:00,629.3484497070312,0.6136493526290894,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-05-01 00:00:00+02:00,644.799560546875,0.6287150355090332,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-06-01 00:00:00+02:00,660.8284912109375,0.6443441244976806,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-07-01 00:00:00+02:00,677.5859985351562,0.6606836158016968,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-08-01 00:00:00+02:00,644.799560546875,0.6287150355090332,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-09-01 00:00:00+02:00,597.4414672851562,0.582538289883728,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-10-01 00:00:00+02:00,611.2846069335938,0.5960361124136353,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-11-01 00:00:00+01:00,612.0132446289062,0.5967465742416382,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2001-12-01 00:00:00+01:00,677.5859985351562,0.6606836158016968,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2002-01-01 00:00:00+01:00,614.1989135742188,0.5988777216751099,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2002-02-01 00:00:00+01:00,651.35693359375,0.6351088348852539,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2002-03-01 00:00:00+01:00,637.513916015625,0.6216111313806152,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2002-04-01 00:00:00+02:00,714.0154418945312,0.6962043266964721,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2002-05-01 00:00:00+02:00,709.775634765625,0.6920702815563965,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2002-06-01 00:00:00+02:00,625.9263305664062,0.6103125982504273,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
