Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2000-01-01 00:00:00+01:00,4.186236381530762,2.3415879979749756,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-02-01 00:00:00+01:00,4.19583797454834,2.3469586872821044,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-03-01 00:00:00+01:00,3.8319427967071533,2.1434124697982484,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-04-01 00:00:00+02:00,4.1286301612854,2.3093657291775513,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-05-01 00:00:00+02:00,4.530930042266846,2.5343937703672483,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-06-01 00:00:00+02:00,4.176635265350342,2.336217575388611,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-07-01 00:00:00+02:00,4.597105026245117,2.571409011296631,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-08-01 00:00:00+02:00,5.6729817390441895,3.1732049368936157,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-09-01 00:00:00+02:00,5.747628211975098,3.2149587389190675,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-10-01 00:00:00+02:00,5.896915435791016,3.298463142320801,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-11-01 00:00:00+01:00,6.1755876541137695,3.454339557869751,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2000-12-01 00:00:00+01:00,6.518951416015625,3.646401446050781,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2001-01-01 00:00:00+01:00,5.921797275543213,3.3123808985154417,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2001-02-01 00:00:00+01:00,6.518951416015625,3.646401446050781,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2001-03-01 00:00:00+01:00,6.966821193695068,3.896919190508972,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2001-04-01 00:00:00+02:00,6.568715572357178,3.6742372251608275,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
2001-05-01 00:00:00+02:00,6.832460403442383,3.821763947187744,Vinci,Industrials,Engineering & Construction,14.543297,2.3024771,0.06683,0.15961,0.043319996,115.794,,Large Cap
