Date,Stock Price,Market Cap (Billion USD),Company
2000-01-01 00:00:00+05:30,6.955478668212891,87.50200673169141,Oil &amp; Natural Gas
2000-02-01 00:00:00+05:30,5.547468185424805,69.78881277046679,Oil &amp; Natural Gas
2000-03-01 00:00:00+05:30,4.527530670166016,56.95769307572266,Oil &amp; Natural Gas
2000-04-01 00:00:00+05:30,3.6369500160217285,45.75392147188135,Oil &amp; Natural Gas
2000-05-01 00:00:00+05:30,4.429559230804443,55.72518299906787,Oil &amp; Natural Gas
2000-06-01 00:00:00+05:30,4.86596155166626,61.21525501845166,Oil &amp; Natural Gas
2000-07-01 00:00:00+05:30,4.679671287536621,58.87166765035059,Oil &amp; Natural Gas
2000-08-01 00:00:00+05:30,3.9500372409820557,49.69265261791821,Oil &amp; Natural Gas
2000-09-01 00:00:00+05:30,3.762040615081787,47.32759870721631,Oil &amp; Natural Gas
2000-10-01 00:00:00+05:30,3.6843998432159424,46.350854522303955,Oil &amp; Natural Gas
2000-11-01 00:00:00+05:30,3.9790821075439453,50.05804574622071,Oil &amp; Natural Gas
2000-12-01 00:00:00+05:30,4.229648113250732,53.21024121168701,Oil &amp; Natural Gas
2001-01-01 00:00:00+05:30,4.977822303771973,62.62249681311035,Oil &amp; Natural Gas
2001-02-01 00:00:00+05:30,5.067812442779541,63.75459973870947,Oil &amp; Natural Gas
2001-03-01 00:00:00+05:30,4.683139324188232,58.91529659106201,Oil &amp; Natural Gas
2001-04-01 00:00:00+05:30,4.864891052246094,61.20178781483594,Oil &amp; Natural Gas
2001-05-01 00:00:00+05:30,5.208980560302734,65.53053697596485,Oil &amp; Natural Gas
2001-06-01 00:00:00+05:30,5.494839668273926,69.12673024794238,Oil &amp; Natural Gas
2001-07-01 00:00:00+05:30,5.890099048614502,74.09921174190283,Oil &amp; Natural Gas
2001-08-01 00:00:00+05:30,5.290149211883545,66.55166294526514,Oil &amp; Natural Gas
2001-09-01 00:00:00+05:30,5.490360736846924,69.07038394791455,Oil &amp; Natural Gas
2001-10-01 00:00:00+05:30,5.697695732116699,71.67872034246386,Oil &amp; Natural Gas
2001-11-01 00:00:00+05:30,5.858278751373291,73.69890286364698,Oil &amp; Natural Gas
2001-12-01 00:00:00+05:30,5.5249152183532715,69.50508968386865,Oil &amp; Natural Gas
2002-01-01 00:00:00+05:30,5.890803813934326,74.10807790089795,Oil &amp; Natural Gas
2002-02-01 00:00:00+05:30,9.078102111816406,114.20524596378907,Oil &amp; Natural Gas
2002-03-01 00:00:00+05:30,11.165696144104004,140.46780470055566,Oil &amp; Natural Gas
2002-04-01 00:00:00+05:30,13.989139556884766,175.98756923391016,Oil &amp; Natural Gas
2002-05-01 00:00:00+05:30,12.987007141113281,163.38044302825782,Oil &amp; Natural Gas
2002-06-01 00:00:00+05:30,13.28581714630127,167.13956246959083,Oil &amp; Natural Gas
2002-07-01 00:00:00+05:30,13.911890029907227,175.01574702697852,Oil &amp; Natural Gas
2002-08-01 00:00:00+05:30,14.383481979370117,180.94851512316993,Oil &amp; Natural Gas
2002-09-01 00:00:00+05:30,14.409289360046387,181.27317970851075,Oil &amp; Natural Gas
2002-10-01 00:00:00+05:30,15.965279579162598,200.8480031135166,Oil &amp; Natural Gas
2002-11-01 00:00:00+05:30,14.89909553527832,187.43508822506445,Oil &amp; Natural Gas
2002-12-01 00:00:00+05:30,14.789311408996582,186.05397100579395,Oil &amp; Natural Gas
2003-01-01 00:00:00+05:30,15.659148216247559,196.99677879720997,Oil &amp; Natural Gas
2003-02-01 00:00:00+05:30,16.61704444885254,209.04740055768164,Oil &amp; Natural Gas
2003-03-01 00:00:00+05:30,15.723608016967773,197.8077024137715,Oil &amp; Natural Gas
2003-04-01 00:00:00+05:30,15.68159294128418,197.27914016656055,Oil &amp; Natural Gas
2003-05-01 00:00:00+05:30,21.115190505981445,265.6354263925957,Oil &amp; Natural Gas
2003-06-01 00:00:00+05:30,21.384992599487305,269.0296176090918,Oil &amp; Natural Gas
2003-07-01 00:00:00+05:30,20.108966827392578,252.9768308742383,Oil &amp; Natural Gas
